Independent Variable,Dependent Variable,Dependent Variable Slug,Cpus Per Node,Num Simels Per Cpu,Slope Estimate,Slope Estimate 95% CI Lower Bound,Slope Estimate 95% CI Upper Bound,Absolute Effect Size,Absolute Effect Size 95% CI Lower Bound,Absolute Effect Size 95% CI Upper Bound,Absolute Effect Size 95% CI Width,Relative Effect Size,Relative Effect Size 95% CI Lower Bound,Relative Effect Size 95% CI Upper Bound,Relative Effect Size 95% CI Width,Intercept Estimate,Intercept Estimate 95% CI Lower Bound,Intercept Estimate 95% CI Upper Bound,R^2,p,Significant?,Significant Effect Sign,n,Filter,Num Processes,Num Processes Prettyprint,Regression Model,Statistic
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,4,2048,136852.5135535847,27024.666531854178,246680.3605753152,136852.5135535847,27024.666531854178,246680.3605753152,219655.694043461,0.08691797503056922,0.01716394701004477,0.1566720030510937,0.13950805604104893,1307117.0106677501,965648.3574156396,1648585.6639198607,,0.016437421673057402,True,+,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,4,2048,135722.52167476015,27929.42006069928,243515.62328882102,135722.52167476015,27929.42006069928,243515.62328882102,215586.20322812174,0.08820496231674639,0.018151102805811573,0.1582588218276812,0.14010771902186964,1282051.1315141884,946908.7588266999,1617193.5042016767,,0.01544892789222929,True,+,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,median
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,1,-64202.05472915762,-93652.50402747391,-34751.60543084132,-64202.05472915762,-93652.50402747391,-34751.60543084132,58900.89859663259,-0.11782948302342798,-0.17187964123514504,-0.06377932481171092,0.10810031642343412,673276.6921241691,598192.4842960741,748360.899952264,0.53818375261878,0.00023223536936655228,True,-,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,mean
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,1,-65525.78722613331,-95562.18230178229,-35489.39215048433,-65525.78722613331,-95562.18230178229,-35489.39215048433,60072.79015129796,-0.11949330144532243,-0.17426788963483877,-0.0647187132558061,0.10954917637903268,679415.2603959215,602837.1780915633,755993.3427002798,0.5385356186548064,0.0002305842095288837,True,-,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,mean
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,1,1,-1.8956837235155017,-2.5490657372345997,-1.2423017097964038,-1.8956837235155017,-2.5490657372345997,-1.2423017097964038,1.306764027438196,-0.2433250731889707,-0.32719150319329865,-0.15945864318464276,0.1677328600086559,11.58211296565365,9.916309146761535,13.247916784545765,0.6736470054634972,9.273547209958773e-06,True,-,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,mean
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,1,1,-1.9597176870117348,-2.6507520052036972,-1.2686833688197723,-1.9597176870117348,-2.6507520052036972,-1.2686833688197723,1.382068636383925,-0.24632215531540996,-0.33318010622440725,-0.15946420440641265,0.1737159018179946,11.875348574370229,10.113549837858677,13.63714731088178,0.6635407680997947,1.228254162754772e-05,True,-,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,mean
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,mean
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,1,1,0.05816094560055984,0.03906438068961469,0.07725751051150498,0.05816094560055984,0.03906438068961469,0.07725751051150498,0.03819312982189029,0.30305548699559404,0.20355024822633735,0.40256072576485064,0.19901047753851328,0.0755932797702128,0.026906401208462508,0.12428015833196308,0.694616623530157,5.0337842894630145e-06,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,mean
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,1,1,10148.477751268889,7266.2439379561965,13030.711564581581,10148.477751268889,7266.2439379561965,13030.711564581581,5764.467626625385,0.1448354682091704,0.10370125142604233,0.18596968499229846,0.08226843356625613,49772.05367560442,42423.77044719523,57120.3369040136,0.7524826136485185,7.338058776062277e-07,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,mean
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,1,1,9944.764442928416,6973.887268135023,12915.641617721809,9944.764442928416,6973.887268135023,12915.641617721809,5941.754349586786,0.14383828945964697,0.10086835352306923,0.18680822539622471,0.08593987187315548,49248.97714259788,41674.69679921843,56823.25748597734,0.7331686244871829,1.459490052530054e-06,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,mean
