Independent Variable,Dependent Variable,Dependent Variable Slug,Cpus Per Node,Num Simels Per Cpu,Slope Estimate,Slope Estimate 95% CI Lower Bound,Slope Estimate 95% CI Upper Bound,Absolute Effect Size,Absolute Effect Size 95% CI Lower Bound,Absolute Effect Size 95% CI Upper Bound,Absolute Effect Size 95% CI Width,Relative Effect Size,Relative Effect Size 95% CI Lower Bound,Relative Effect Size 95% CI Upper Bound,Relative Effect Size 95% CI Width,Intercept Estimate,Intercept Estimate 95% CI Lower Bound,Intercept Estimate 95% CI Upper Bound,R^2,p,Significant?,Significant Effect Sign,n,Filter,Num Processes,Num Processes Prettyprint,Regression Model,Regression Model Slug,Statistic
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,4,1,-1.0538434457151349,-1.7465515611954967,-0.36113533023477307,-1.0538434457151349,-1.7465515611954967,-0.36113533023477307,1.3854162309607236,-0.15701926153846818,-0.26023052806641095,-0.05380799501052544,0.2064225330558855,8.836161264034171,7.070095165004945,10.602227363063397,,0.005003967508217183,True,-,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,4,1,-1.0690240576837586,-1.7093929212903731,-0.42865519407714414,-1.0690240576837586,-1.7093929212903731,-0.42865519407714414,1.280737727213229,-0.15645153493948305,-0.2501694367197111,-0.06273363315925504,0.18743580356045605,8.948910740007912,7.316284074294231,10.581537405721594,,0.0025158744689185984,True,-,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,4,1,0.025858977005127903,-0.022611895283724787,0.0743298492939806,0.025858977005127903,-0.022611895283724787,0.0743298492939806,0.09694174457770538,0.4699364548960452,-0.41092707983022825,1.3507999896223186,1.7617270694525469,-0.0016365332762898026,-0.12521349509715174,0.12194042854457214,,0.2770911597020775,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,4,1,-0.03263106703778796,-0.06184031012945502,-0.0034218239461209013,-0.03263106703778796,-0.06184031012945502,-0.0034218239461209013,0.05841848618333412,-0.049215472537239,-0.09327001416613354,-0.005160930908344461,0.08810908325778907,0.7274118834334439,0.6529426331826012,0.8018811336842866,,0.030564186324024134,True,-,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,4,1,4876.411509525449,-3348.080915920338,13100.903934971237,4876.411509525449,-3348.080915920338,13100.903934971237,16448.984850891575,0.07379283105456888,-0.05066520101983332,0.19825086312897108,0.2489160641488044,56079.85233731184,35111.42865393979,77048.27602068389,,0.22885876643182654,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,4,1,4674.831539621551,-3027.4592545679907,12377.122333811094,4674.831539621551,-3027.4592545679907,12377.122333811094,15404.581588379086,0.07217065433847906,-0.04673830779428343,0.19107961647124158,0.237817924265525,55551.22715427388,35914.161624804634,75188.29268374313,,0.21847504470136672,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,4,2048,691266.0435003851,289707.0361105706,1092825.0508901996,691266.0435003851,289707.0361105706,1092825.0508901996,803118.014779629,0.3771418583744311,0.15805875467225686,0.5962249620766054,0.43816620740434853,437511.1742471716,-586267.4330226335,1461289.7815169767,,0.0019727786426189417,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,4,2048,706136.386063239,304648.9173735523,1107623.8547529257,706136.386063239,304648.9173735523,1107623.8547529257,802974.9373793735,0.3812725737210814,0.16449269447213136,0.5980524529700315,0.4335597584979002,429159.9971222041,-594436.2215336366,1452756.215778045,,0.0016566290345379668,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,4,2048,-0.0057491450771982484,-0.1537736087954388,0.1422753186410423,-0.0057491450771982484,-0.1537736087954388,0.1422753186410423,0.2960489274364811,-0.004334726293217649,-0.1159418481005516,0.10727239551411628,0.22321424361466788,1.3311374612874312,0.953747646793224,1.7085272757816383,,0.9358668495186517,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,4,2048,-0.0013758009836588867,-0.1686499827198078,0.16589838075249003,-0.0013758009836588867,-0.1686499827198078,0.16589838075249003,0.3345483634722978,-0.0010146143034090542,-0.12437459107067526,0.12234536246385716,0.2467199535345324,1.3561751185317232,0.9297079601352793,1.7826422769281671,,0.9864035631117287,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
