IndependentVariable,DependentVariable,DependentVariableSlug,CpusPerNode,NumSimelsPerCpu,SlopeEstimate,SlopeEstimate95CILowerBound,SlopeEstimate95CIUpperBound,AbsoluteEffectSize,AbsoluteEffectSize95CILowerBound,AbsoluteEffectSize95CIUpperBound,AbsoluteEffectSize95CIWidth,RelativeEffectSize,RelativeEffectSize95CILowerBound,RelativeEffectSize95CIUpperBound,RelativeEffectSize95CIWidth,InterceptEstimate,InterceptEstimate95CILowerBound,InterceptEstimate95CIUpperBound,R2,p,Significant,SignificantEffectSign,n,Filter,NumProcesses,NumProcessesPrettyprint,RegressionModel,RegressionModelSlug,Statistic
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,1,1,-1.1,-1.6,-0.62,-1.1,-1.6,-0.62,0.96,-0.14,-0.2,-0.079,0.12,9.7,8.2,11,nan,6.6e-05,True,-,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,1,1,-1.1,-1.6,-0.55,-1.1,-1.6,-0.55,1.1,-0.13,-0.2,-0.069,0.13,9.7,8.1,11,nan,0.00025,True,-,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,1,1,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,NaN,NaN,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,1,1,-0.038,-0.051,-0.024,-0.038,-0.051,-0.024,0.026,-0.047,-0.063,-0.03,0.033,0.88,0.84,0.92,nan,2.7e-06,True,-,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,1,1,8'600,6'900,10'000,8'600,6'900,10'000,3'500,0.12,0.098,0.15,0.05,53'000,48'000,59'000,nan,6.7e-11,True,+,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,1,1,8'500,6'800,10'000,8'500,6'800,10'000,3'300,0.12,0.099,0.15,0.048,53'000,47'000,58'000,nan,3.2e-11,True,+,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,2048,61'000,-29'000,150'000,61'000,-29'000,150'000,180'000,0.029,-0.014,0.072,0.086,2.1e+06,1.8e+06,2.4e+06,nan,0.18,False,0,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,2048,60'000,-32'000,150'000,60'000,-32'000,150'000,180'000,0.028,-0.015,0.071,0.086,2.1e+06,1.8e+06,2.4e+06,nan,0.19,False,0,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,1,2048,-0.034,-0.074,0.0068,-0.034,-0.074,0.0068,0.081,-0.027,-0.06,0.0055,0.065,1.3,1.2,1.4,nan,0.1,False,0,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,1,2048,-0.037,-0.08,0.0057,-0.037,-0.08,0.0057,0.085,-0.029,-0.063,0.0045,0.067,1.3,1.2,1.5,nan,0.087,False,0,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,1,2048,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,NaN,NaN,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,1,2048,-0.031,-0.055,-0.0064,-0.031,-0.055,-0.0064,0.048,-0.079,-0.14,-0.017,0.13,0.44,0.36,0.51,nan,0.015,True,-,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,1,2048,140'000,33'000,240'000,140'000,33'000,240'000,210'000,0.081,0.019,0.14,0.12,1.4e+06,1.1e+06,1.8e+06,nan,0.012,True,+,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,1,2048,140'000,35'000,240'000,140'000,35'000,240'000,210'000,0.083,0.021,0.14,0.12,1.4e+06,1.1e+06,1.7e+06,nan,0.011,True,+,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
